                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5323,                 1.7524,                 1.1033,                0.55965,                0.22181,                0.20744,                0.09378,                 1.7206,                 1.7751,                 1.2382,               0.067039,             0.00033294,             0.00033294
                      2,                 1.6306,                  1.803,                 1.1548,                0.40464,                0.29957,                0.17749,                0.07626,                 1.7577,                 1.7813,                 1.2247,               0.033973,             0.00060031,             0.00060031
                      3,                 1.6356,                 1.8015,                 1.1662,                0.31281,                0.37917,                0.27285,                0.12082,                 1.7964,                 1.6239,                 1.2335,             0.00084081,             0.00080169,             0.00080169
                      4,                 1.5688,                 1.7024,                 1.1357,                0.28225,                0.34187,                 0.2531,                0.11317,                  1.711,                   1.56,                 1.1821,               0.000703,               0.000703,               0.000703
                      5,                 1.5479,                 1.6041,                 1.1132,                0.39653,                0.42986,                0.31484,                0.15568,                 1.6864,                 1.4811,                 1.1863,               0.000604,               0.000604,               0.000604
                      6,                 1.4943,                 1.5493,                 1.0987,                0.39174,                0.43653,                0.32815,                0.15835,                 1.6751,                 1.4337,                 1.1782,               0.000505,               0.000505,               0.000505
                      7,                 1.4452,                 1.4679,                 1.0898,                0.32899,                0.40373,                0.30825,                0.15172,                 1.6777,                 1.3637,                 1.1702,               0.000406,               0.000406,               0.000406
                      8,                 1.4212,                 1.4589,                 1.0714,                0.39675,                0.44933,                0.36631,                0.17676,                 1.6326,                 1.3188,                 1.1591,               0.000307,               0.000307,               0.000307
                      9,                 1.3794,                 1.3356,                 1.0509,                0.37059,                0.50123,                0.38237,                0.18486,                 1.6042,                 1.2785,                 1.1408,               0.000208,               0.000208,               0.000208
                     10,                 1.3523,                 1.3014,                 1.0499,                 0.4014,                0.50722,                0.39691,                0.20262,                 1.5901,                 1.2245,                 1.1389,               0.000109,               0.000109,               0.000109
